# Time-averaged data for fix hot1
# TimeStep f_Hot
757000 -406.988
758000 -407.342
759000 -407.983
760000 -408.147
761000 -407.25
762000 -407.165
763000 -407.982
764000 -408.778
765000 -409.321
766000 -410.877
767000 -411.81
768000 -412.151
769000 -411.736
770000 -413.003
771000 -412.173
772000 -412.551
773000 -413.406
774000 -414.093
775000 -415.683
776000 -415.545
777000 -415.931
778000 -416.841
779000 -417.432
780000 -417.732
781000 -418.128
782000 -417.874
783000 -418.789
784000 -420.656
785000 -420.96
786000 -422.197
787000 -424.166
788000 -424.973
789000 -425.072
790000 -424.962
791000 -425.819
792000 -426.215
793000 -426.708
794000 -425.928
795000 -425.98
796000 -425.881
797000 -426.777
798000 -426.618
799000 -427.722
800000 -427.823
801000 -428.59
802000 -429.389
803000 -429.181
804000 -429.584
805000 -430.899
806000 -432.1
807000 -432.519
808000 -433.537
809000 -434.066
810000 -436.282
811000 -436.843
812000 -436.579
813000 -437.142
814000 -437.684
815000 -438.337
816000 -438.382
817000 -438.223
818000 -438.334
819000 -440.275
820000 -441.962
821000 -441.318
822000 -442.683
823000 -441.739
824000 -443.381
825000 -443.415
826000 -443.431
827000 -445.121
828000 -445.418
829000 -445.862
830000 -445.411
831000 -445.387
832000 -446.557
833000 -447.638
834000 -446.693
835000 -447.385
836000 -448.396
837000 -449.614
838000 -450.694
839000 -448.785
840000 -450.025
841000 -450.926
842000 -451.211
843000 -452.236
844000 -452.683
845000 -453.475
846000 -454.004
847000 -454.132
848000 -455.742
849000 -455.835
850000 -455.775
851000 -456.441
852000 -457.291
853000 -458.771
854000 -459.115
855000 -459.381
856000 -459.565
857000 -460.676
858000 -461.797
859000 -462.734
860000 -464.096
861000 -464.985
862000 -464.377
863000 -465.224
864000 -466.625
865000 -467.28
866000 -467.969
867000 -468.457
868000 -468.519
869000 -468.367
870000 -470.524
871000 -470.687
872000 -470.482
873000 -471.216
874000 -472.498
875000 -472.017
876000 -473.441
877000 -475.323
878000 -475.914
879000 -476.161
