# Time-averaged data for fix hot1
# TimeStep f_Hot
1143000 -667.998
1144000 -670.059
1145000 -672.412
1146000 -673.413
1147000 -672.984
1148000 -671.843
1149000 -672.268
1150000 -669.625
1151000 -669.841
1152000 -671.514
1153000 -672.609
1154000 -673.36
1155000 -675.29
1156000 -673.98
1157000 -673.664
1158000 -675.377
1159000 -676.424
1160000 -675.043
1161000 -675.941
1162000 -676.34
1163000 -677.443
1164000 -679.092
1165000 -679.077
1166000 -680.002
1167000 -680.079
1168000 -679.909
1169000 -680.998
1170000 -680.961
1171000 -680.273
1172000 -682.783
1173000 -681.665
1174000 -680.241
1175000 -680.18
1176000 -681.953
1177000 -681.041
1178000 -680.149
1179000 -681.442
1180000 -681.713
1181000 -682.095
1182000 -682.874
1183000 -683.495
1184000 -683.096
1185000 -685.078
1186000 -685.836
1187000 -684.766
1188000 -686.466
1189000 -687.067
1190000 -687.191
1191000 -687.949
1192000 -686.804
1193000 -689.274
1194000 -689.443
1195000 -690.454
1196000 -689.43
1197000 -689.717
1198000 -692.762
1199000 -693.544
1200000 -696.521
1201000 -697.813
1202000 -696.158
1203000 -698.762
1204000 -699.119
1205000 -700.579
1206000 -703.754
1207000 -703.388
1208000 -701.908
1209000 -703.288
1210000 -702.394
1211000 -702.754
1212000 -702.384
1213000 -702.02
1214000 -702.202
1215000 -704.329
1216000 -706.898
1217000 -707.03
1218000 -707.129
1219000 -707.843
1220000 -707.945
1221000 -710.674
1222000 -711.074
1223000 -712.184
1224000 -711.257
1225000 -714.794
1226000 -716.634
1227000 -718.912
1228000 -718.083
1229000 -715.351
1230000 -716.667
1231000 -716.364
1232000 -718.076
1233000 -716.158
1234000 -716.673
1235000 -715.659
1236000 -717.979
1237000 -719.45
1238000 -722.148
1239000 -723.064
1240000 -722.203
1241000 -723.018
1242000 -723.195
1243000 -726.112
1244000 -726.682
1245000 -725.492
1246000 -725.682
1247000 -726.177
1248000 -726.788
1249000 -727.342
1250000 -728.07
1251000 -729.241
1252000 -729.781
1253000 -730.586
1254000 -728.291
1255000 -729.657
1256000 -729.409
1257000 -730.722
1258000 -731.452
1259000 -731.219
1260000 -733.874
1261000 -732.859
1262000 -731.989
1263000 -734.316
1264000 -736.68
1265000 -735.192
1266000 -734.625
1267000 -736.758
1268000 -737.535
1269000 -737.913
1270000 -737.487
1271000 -740.053
1272000 -741.357
1273000 -741.389
1274000 -741.204
1275000 -742.001
1276000 -745.199
1277000 -744.224
1278000 -745.681
1279000 -746.582
1280000 -746.36
1281000 -746.406
1282000 -746.02
1283000 -745.204
1284000 -743.56
1285000 -745.277
1286000 -747.128
1287000 -750.397
1288000 -750.708
1289000 -751.654
1290000 -753.749
1291000 -752.542
1292000 -753.327
1293000 -755.213
1294000 -754.617
1295000 -756.367
1296000 -756.791
1297000 -756.356
1298000 -757.117
1299000 -759.723
1300000 -759.299
1301000 -758.364
1302000 -759.831
1303000 -759.001
1304000 -760.122
1305000 -761.689
1306000 -759.84
1307000 -758.848
1308000 -762.107
1309000 -763.667
1310000 -764.517
1311000 -763.553
1312000 -762.973
1313000 -764.747
1314000 -765.643
1315000 -764.702
1316000 -766.343
1317000 -767.122
1318000 -767.93
1319000 -769.123
1320000 -768.617
1321000 -769.594
1322000 -770.81
1323000 -773.242
1324000 -774.322
1325000 -774.267
1326000 -775.884
1327000 -778.006
1328000 -778.579
1329000 -777.781
1330000 -778.09
1331000 -778.372
1332000 -779.699
1333000 -782.656
1334000 -779.934
1335000 -781.169
1336000 -782.474
1337000 -782.408
1338000 -782.469
1339000 -783.524
1340000 -784.117
1341000 -785.106
1342000 -784.421
1343000 -785.983
1344000 -787.012
1345000 -789.282
1346000 -791.021
1347000 -788.514
1348000 -787.998
1349000 -789.519
1350000 -789.109
1351000 -788.784
1352000 -787.414
1353000 -789.079
1354000 -788.783
1355000 -788.854
1356000 -788.722
1357000 -789.555
1358000 -791.689
1359000 -792.148
1360000 -792.861
1361000 -793.154
1362000 -792.961
